log_id,customer_id,movement_type,success_rate,response_time_ms,session_date,created_at
104,5,release,95.6,98,2025-10-07,2025-10-07 19:47:00
105,5,point,92.9,88,2025-10-07,2025-10-07 19:13:00
106,6,release,90.6,79,2025-10-07,2025-10-07 16:20:00
107,6,point,92.2,92,2025-10-07,2025-10-07 15:07:00
108,7,point,92.1,108,2025-10-07,2025-10-07 14:11:00
109,7,flex,96.7,79,2025-10-07,2025-10-07 18:25:00
110,8,release,92.1,123,2025-10-07,2025-10-07 17:26:00
111,8,release,96.4,92,2025-10-07,2025-10-07 10:41:00
112,8,flex,94.2,75,2025-10-07,2025-10-07 17:21:00
113,8,release,91.3,87,2025-10-07,2025-10-07 09:00:00
114,4,flex,97.7,112,2025-10-08,2025-10-08 18:28:00
115,4,rotate,93.6,78,2025-10-08,2025-10-08 13:30:00
116,4,release,97.9,80,2025-10-08,2025-10-08 12:49:00
117,4,rotate,91.4,115,2025-10-08,2025-10-08 16:44:00
118,5,point,97.2,95,2025-10-08,2025-10-08 08:24:00
119,5,release,93.3,94,2025-10-08,2025-10-08 16:47:00
120,5,release,93.2,96,2025-10-08,2025-10-08 18:50:00
121,5,flex,92.6,97,2025-10-08,2025-10-08 16:49:00
122,6,point,90.9,115,2025-10-08,2025-10-08 10:47:00
123,6,flex,97.4,93,2025-10-08,2025-10-08 08:36:00
124,6,grasp,97.9,101,2025-10-08,2025-10-08 16:36:00
125,7,point,98.2,101,2025-10-08,2025-10-08 08:58:00
126,7,point,93.2,113,2025-10-08,2025-10-08 10:57:00
127,8,point,96.0,92,2025-10-08,2025-10-08 11:30:00
128,8,grasp,95.3,98,2025-10-08,2025-10-08 13:17:00
129,8,rotate,96.8,109,2025-10-08,2025-10-08 18:39:00
130,8,grasp,90.5,113,2025-10-08,2025-10-08 17:04:00
131,4,grasp,91.0,94,2025-10-09,2025-10-09 16:14:00
132,4,rotate,91.2,118,2025-10-09,2025-10-09 17:01:00
133,4,rotate,94.1,112,2025-10-09,2025-10-09 12:38:00
134,4,release,90.7,80,2025-10-09,2025-10-09 11:14:00
135,5,flex,95.5,99,2025-10-09,2025-10-09 13:32:00
136,5,flex,93.7,107,2025-10-09,2025-10-09 19:48:00
137,5,rotate,90.1,123,2025-10-09,2025-10-09 13:32:00
138,5,release,95.8,95,2025-10-09,2025-10-09 14:54:00
139,6,flex,95.5,83,2025-10-09,2025-10-09 11:33:00
140,6,release,94.7,123,2025-10-09,2025-10-09 08:45:00
141,6,grasp,92.0,103,2025-10-09,2025-10-09 13:11:00
142,7,point,93.4,93,2025-10-09,2025-10-09 10:29:00
143,7,point,94.3,118,2025-10-09,2025-10-09 11:40:00
144,7,flex,95.9,82,2025-10-09,2025-10-09 14:55:00
145,7,release,99.2,116,2025-10-09,2025-10-09 09:48:00
146,8,flex,91.4,101,2025-10-09,2025-10-09 17:44:00
147,8,flex,93.3,85,2025-10-09,2025-10-09 09:55:00
148,8,rotate,95.0,86,2025-10-09,2025-10-09 15:23:00
149,4,release,96.5,123,2025-10-10,2025-10-10 15:06:00
150,4,grasp,97.4,104,2025-10-10,2025-10-10 18:50:00
151,4,rotate,97.3,123,2025-10-10,2025-10-10 18:24:00
152,5,point,94.5,120,2025-10-10,2025-10-10 09:39:00
153,5,grasp,93.4,83,2025-10-10,2025-10-10 16:46:00
154,5,rotate,95.6,81,2025-10-10,2025-10-10 12:14:00
155,6,grasp,96.3,93,2025-10-10,2025-10-10 17:31:00
156,6,release,97.3,77,2025-10-10,2025-10-10 13:25:00
157,6,release,93.8,85,2025-10-10,2025-10-10 18:52:00
158,6,flex,95.0,102,2025-10-10,2025-10-10 18:39:00
159,7,point,97.8,116,2025-10-10,2025-10-10 14:38:00
160,7,flex,93.2,108,2025-10-10,2025-10-10 13:26:00
161,7,point,96.8,102,2025-10-10,2025-10-10 11:46:00
162,8,flex,97.0,117,2025-10-10,2025-10-10 12:23:00
163,8,grasp,90.7,101,2025-10-10,2025-10-10 08:45:00
164,8,grasp,96.1,106,2025-10-10,2025-10-10 19:38:00
165,4,flex,95.9,113,2025-10-11,2025-10-11 10:00:00
166,4,point,94.1,105,2025-10-11,2025-10-11 11:12:00
167,4,flex,97.0,111,2025-10-11,2025-10-11 12:13:00
168,4,release,96.8,117,2025-10-11,2025-10-11 10:58:00
169,5,point,93.9,76,2025-10-11,2025-10-11 08:47:00
170,5,flex,98.3,107,2025-10-11,2025-10-11 19:35:00
171,5,release,91.7,88,2025-10-11,2025-10-11 14:07:00
172,5,rotate,90.3,78,2025-10-11,2025-10-11 09:49:00
173,6,flex,92.7,115,2025-10-11,2025-10-11 12:46:00
174,6,flex,99.3,124,2025-10-11,2025-10-11 15:16:00
175,7,rotate,93.5,116,2025-10-11,2025-10-11 18:15:00
176,7,point,97.0,79,2025-10-11,2025-10-11 12:21:00
177,8,flex,99.3,96,2025-10-11,2025-10-11 10:08:00
178,8,point,90.1,114,2025-10-11,2025-10-11 08:09:00
179,8,grasp,95.5,105,2025-10-11,2025-10-11 09:52:00
180,8,release,97.1,89,2025-10-11,2025-10-11 18:45:00
181,4,point,94.3,118,2025-10-12,2025-10-12 10:04:00
182,4,grasp,93.2,119,2025-10-12,2025-10-12 09:30:00
183,4,point,97.6,84,2025-10-12,2025-10-12 19:57:00
184,4,rotate,95.2,111,2025-10-12,2025-10-12 16:07:00
185,5,release,99.0,120,2025-10-12,2025-10-12 17:59:00
186,5,rotate,91.0,114,2025-10-12,2025-10-12 18:51:00
187,5,point,99.3,89,2025-10-12,2025-10-12 12:31:00
188,5,rotate,90.7,75,2025-10-12,2025-10-12 09:34:00
189,6,grasp,92.8,112,2025-10-12,2025-10-12 14:07:00
190,6,flex,97.1,121,2025-10-12,2025-10-12 13:11:00
191,7,flex,91.0,122,2025-10-12,2025-10-12 08:55:00
192,7,rotate,91.5,89,2025-10-12,2025-10-12 16:12:00
193,7,grasp,91.2,117,2025-10-12,2025-10-12 14:48:00
194,8,flex,98.8,92,2025-10-12,2025-10-12 08:39:00
195,8,release,99.1,99,2025-10-12,2025-10-12 11:55:00
196,4,release,90.5,81,2025-10-13,2025-10-13 14:35:00
197,4,release,94.5,107,2025-10-13,2025-10-13 15:43:00
198,5,point,94.6,100,2025-10-13,2025-10-13 08:49:00
199,5,flex,92.5,114,2025-10-13,2025-10-13 10:52:00
200,5,release,94.0,96,2025-10-13,2025-10-13 18:57:00
201,6,point,95.5,95,2025-10-13,2025-10-13 14:21:00
202,6,point,98.4,75,2025-10-13,2025-10-13 16:34:00
203,7,grasp,95.9,100,2025-10-13,2025-10-13 18:58:00
204,7,flex,93.9,89,2025-10-13,2025-10-13 18:54:00
205,7,point,96.3,83,2025-10-13,2025-10-13 10:02:00
206,8,grasp,92.0,120,2025-10-13,2025-10-13 19:18:00
207,8,release,98.4,120,2025-10-13,2025-10-13 16:06:00
208,8,point,92.8,112,2025-10-13,2025-10-13 12:59:00
209,4,flex,93.1,96,2025-10-14,2025-10-14 10:30:00
210,4,grasp,91.1,86,2025-10-14,2025-10-14 10:19:00
211,4,point,91.8,104,2025-10-14,2025-10-14 14:07:00
212,4,grasp,91.2,105,2025-10-14,2025-10-14 08:59:00
213,5,release,91.2,114,2025-10-14,2025-10-14 14:52:00
214,5,rotate,97.7,91,2025-10-14,2025-10-14 11:08:00
215,5,grasp,98.8,99,2025-10-14,2025-10-14 17:29:00
216,5,rotate,98.8,99,2025-10-14,2025-10-14 18:47:00
217,6,grasp,93.5,78,2025-10-14,2025-10-14 15:06:00
218,6,release,91.1,86,2025-10-14,2025-10-14 11:50:00
219,6,rotate,95.1,98,2025-10-14,2025-10-14 15:36:00
220,6,release,97.9,123,2025-10-14,2025-10-14 09:00:00
221,7,rotate,96.6,98,2025-10-14,2025-10-14 11:35:00
222,7,flex,94.8,97,2025-10-14,2025-10-14 14:57:00
223,8,point,95.7,119,2025-10-14,2025-10-14 13:43:00
224,8,rotate,93.7,94,2025-10-14,2025-10-14 10:29:00
225,8,rotate,93.6,84,2025-10-14,2025-10-14 15:11:00
226,8,release,93.8,122,2025-10-14,2025-10-14 14:48:00
227,4,flex,93.0,91,2025-10-15,2025-10-15 19:26:00
228,4,rotate,90.1,96,2025-10-15,2025-10-15 15:02:00
229,4,point,94.4,98,2025-10-15,2025-10-15 08:33:00
230,5,point,95.1,108,2025-10-15,2025-10-15 10:05:00
231,5,grasp,93.6,104,2025-10-15,2025-10-15 18:26:00
232,5,release,96.1,90,2025-10-15,2025-10-15 13:30:00
233,6,point,94.6,95,2025-10-15,2025-10-15 08:36:00
234,6,flex,96.4,111,2025-10-15,2025-10-15 14:14:00
235,7,point,94.2,118,2025-10-15,2025-10-15 14:30:00
236,7,rotate,99.4,120,2025-10-15,2025-10-15 10:19:00
237,7,rotate,90.1,125,2025-10-15,2025-10-15 08:43:00
238,8,grasp,93.8,124,2025-10-15,2025-10-15 11:00:00
239,8,rotate,98.3,79,2025-10-15,2025-10-15 13:00:00
240,8,grasp,92.7,99,2025-10-15,2025-10-15 16:42:00
241,8,point,95.4,88,2025-10-15,2025-10-15 10:48:00
242,4,point,96.8,97,2025-10-16,2025-10-16 13:36:00
243,4,rotate,95.1,114,2025-10-16,2025-10-16 11:29:00
244,4,flex,92.7,109,2025-10-16,2025-10-16 08:00:00
245,4,point,90.5,105,2025-10-16,2025-10-16 13:12:00
246,5,release,93.0,78,2025-10-16,2025-10-16 14:27:00
247,5,release,96.7,89,2025-10-16,2025-10-16 10:55:00
248,5,point,98.0,83,2025-10-16,2025-10-16 12:57:00
249,5,flex,93.5,90,2025-10-16,2025-10-16 19:35:00
250,6,release,96.8,77,2025-10-16,2025-10-16 19:36:00
251,6,point,90.8,103,2025-10-16,2025-10-16 18:22:00
252,6,point,98.8,80,2025-10-16,2025-10-16 16:45:00
253,7,flex,98.6,108,2025-10-16,2025-10-16 17:45:00
254,7,release,99.4,80,2025-10-16,2025-10-16 16:41:00
255,7,rotate,91.8,125,2025-10-16,2025-10-16 15:28:00
256,8,release,91.8,112,2025-10-16,2025-10-16 10:37:00
257,8,point,94.4,82,2025-10-16,2025-10-16 09:17:00
258,4,point,98.6,118,2025-10-17,2025-10-17 09:28:00
259,4,point,99.5,112,2025-10-17,2025-10-17 08:15:00
260,4,point,95.9,103,2025-10-17,2025-10-17 18:38:00
261,5,grasp,90.1,94,2025-10-17,2025-10-17 12:45:00
262,5,point,98.6,103,2025-10-17,2025-10-17 09:25:00
263,6,release,95.1,109,2025-10-17,2025-10-17 09:46:00
264,6,flex,91.8,121,2025-10-17,2025-10-17 10:05:00
265,6,flex,94.4,81,2025-10-17,2025-10-17 16:57:00
266,6,grasp,90.4,100,2025-10-17,2025-10-17 11:42:00
267,7,grasp,96.4,123,2025-10-17,2025-10-17 12:22:00
268,7,grasp,94.9,106,2025-10-17,2025-10-17 19:55:00
269,7,point,91.4,79,2025-10-17,2025-10-17 16:25:00
270,7,grasp,97.7,77,2025-10-17,2025-10-17 09:01:00
271,8,release,91.7,110,2025-10-17,2025-10-17 10:15:00
272,8,point,94.5,90,2025-10-17,2025-10-17 15:57:00
273,8,flex,90.7,97,2025-10-17,2025-10-17 17:58:00
274,4,rotate,90.0,121,2025-10-18,2025-10-18 16:50:00
275,4,flex,91.1,108,2025-10-18,2025-10-18 12:39:00
276,5,rotate,92.8,107,2025-10-18,2025-10-18 16:19:00
277,5,point,90.8,97,2025-10-18,2025-10-18 15:36:00
278,6,point,95.0,97,2025-10-18,2025-10-18 08:40:00
279,6,point,98.5,104,2025-10-18,2025-10-18 13:07:00
280,6,point,90.8,90,2025-10-18,2025-10-18 19:50:00
281,6,point,96.1,106,2025-10-18,2025-10-18 09:04:00
282,7,flex,97.1,79,2025-10-18,2025-10-18 11:53:00
283,7,flex,95.7,122,2025-10-18,2025-10-18 19:07:00
284,7,release,90.1,89,2025-10-18,2025-10-18 19:21:00
285,8,grasp,94.2,101,2025-10-18,2025-10-18 11:28:00
286,8,point,93.2,115,2025-10-18,2025-10-18 09:51:00
287,8,point,95.4,91,2025-10-18,2025-10-18 13:34:00
288,8,point,92.0,97,2025-10-18,2025-10-18 10:43:00
289,4,release,95.2,102,2025-10-19,2025-10-19 08:16:00
290,4,point,99.2,113,2025-10-19,2025-10-19 12:06:00
291,4,flex,93.7,102,2025-10-19,2025-10-19 11:46:00
292,5,rotate,90.2,124,2025-10-19,2025-10-19 12:13:00
293,5,grasp,96.8,89,2025-10-19,2025-10-19 11:27:00
294,6,rotate,95.8,86,2025-10-19,2025-10-19 11:17:00
295,6,flex,97.2,120,2025-10-19,2025-10-19 14:39:00
296,6,flex,95.4,121,2025-10-19,2025-10-19 10:35:00
297,6,release,99.1,105,2025-10-19,2025-10-19 17:25:00
298,7,release,91.9,106,2025-10-19,2025-10-19 15:35:00
299,7,flex,95.0,82,2025-10-19,2025-10-19 13:05:00
300,7,rotate,96.2,99,2025-10-19,2025-10-19 08:38:00
301,8,rotate,98.9,78,2025-10-19,2025-10-19 08:44:00
302,8,release,92.9,114,2025-10-19,2025-10-19 11:18:00
303,8,point,95.8,115,2025-10-19,2025-10-19 13:35:00
304,8,release,95.7,102,2025-10-19,2025-10-19 10:24:00
305,4,release,93.2,104,2025-10-20,2025-10-20 17:23:00
306,4,flex,93.3,92,2025-10-20,2025-10-20 10:47:00
307,5,point,94.8,114,2025-10-20,2025-10-20 12:44:00
308,5,rotate,96.9,98,2025-10-20,2025-10-20 19:03:00
309,5,point,95.5,88,2025-10-20,2025-10-20 10:28:00
310,5,point,92.7,86,2025-10-20,2025-10-20 11:02:00
311,6,rotate,93.4,119,2025-10-20,2025-10-20 08:43:00
312,6,flex,98.2,79,2025-10-20,2025-10-20 19:32:00
313,7,flex,90.0,112,2025-10-20,2025-10-20 12:48:00
314,7,point,92.1,95,2025-10-20,2025-10-20 09:06:00
315,7,rotate,96.8,86,2025-10-20,2025-10-20 13:18:00
316,7,rotate,94.9,79,2025-10-20,2025-10-20 10:27:00
317,8,release,97.2,112,2025-10-20,2025-10-20 13:49:00
318,8,point,91.6,99,2025-10-20,2025-10-20 18:52:00
319,4,release,95.7,99,2025-10-21,2025-10-21 17:04:00
320,4,grasp,93.5,115,2025-10-21,2025-10-21 12:30:00
321,4,release,93.1,113,2025-10-21,2025-10-21 08:35:00
322,4,flex,97.0,94,2025-10-21,2025-10-21 11:34:00
323,5,rotate,99.2,93,2025-10-21,2025-10-21 19:26:00
324,5,release,97.6,120,2025-10-21,2025-10-21 18:26:00
325,5,grasp,98.9,92,2025-10-21,2025-10-21 15:54:00
326,5,point,94.8,113,2025-10-21,2025-10-21 15:20:00
327,6,flex,94.5,106,2025-10-21,2025-10-21 10:46:00
328,6,grasp,97.4,110,2025-10-21,2025-10-21 13:20:00
329,7,point,91.5,110,2025-10-21,2025-10-21 11:53:00
330,7,release,90.1,94,2025-10-21,2025-10-21 12:41:00
331,8,flex,91.4,117,2025-10-21,2025-10-21 16:56:00
332,8,flex,93.7,110,2025-10-21,2025-10-21 11:39:00
333,4,point,98.0,93,2025-10-22,2025-10-22 12:12:00
334,4,point,95.9,91,2025-10-22,2025-10-22 18:56:00
335,5,point,92.9,81,2025-10-22,2025-10-22 13:33:00
336,5,release,95.4,100,2025-10-22,2025-10-22 13:29:00
337,5,rotate,99.1,75,2025-10-22,2025-10-22 14:08:00
338,5,release,98.3,108,2025-10-22,2025-10-22 18:52:00
339,6,grasp,93.6,81,2025-10-22,2025-10-22 14:22:00
340,6,flex,91.2,91,2025-10-22,2025-10-22 08:09:00
341,7,point,92.0,119,2025-10-22,2025-10-22 18:39:00
342,7,rotate,93.1,98,2025-10-22,2025-10-22 18:16:00
343,7,rotate,94.6,100,2025-10-22,2025-10-22 15:28:00
344,7,flex,98.3,114,2025-10-22,2025-10-22 19:36:00
345,8,flex,97.4,89,2025-10-22,2025-10-22 17:34:00
346,8,release,96.4,83,2025-10-22,2025-10-22 14:42:00
347,4,flex,91.7,103,2025-10-23,2025-10-23 17:01:00
348,4,rotate,90.4,122,2025-10-23,2025-10-23 19:12:00
349,5,release,93.8,108,2025-10-23,2025-10-23 15:25:00
350,5,release,96.1,115,2025-10-23,2025-10-23 13:24:00
351,6,flex,90.6,87,2025-10-23,2025-10-23 11:38:00
352,6,rotate,90.8,124,2025-10-23,2025-10-23 19:24:00
353,6,grasp,92.7,95,2025-10-23,2025-10-23 18:50:00
354,7,flex,96.7,117,2025-10-23,2025-10-23 08:07:00
355,7,release,92.6,88,2025-10-23,2025-10-23 14:11:00
356,7,grasp,97.0,85,2025-10-23,2025-10-23 10:24:00
357,8,grasp,99.3,104,2025-10-23,2025-10-23 14:54:00
358,8,rotate,98.7,81,2025-10-23,2025-10-23 10:53:00
359,8,point,99.0,90,2025-10-23,2025-10-23 17:52:00
360,4,rotate,97.4,109,2025-10-24,2025-10-24 09:39:00
361,4,rotate,94.4,97,2025-10-24,2025-10-24 18:47:00
362,4,grasp,90.7,96,2025-10-24,2025-10-24 09:14:00
363,5,point,91.5,89,2025-10-24,2025-10-24 10:56:00
364,5,release,94.8,86,2025-10-24,2025-10-24 19:40:00
365,6,release,93.0,86,2025-10-24,2025-10-24 13:01:00
366,6,flex,97.3,99,2025-10-24,2025-10-24 18:16:00
367,6,release,98.3,106,2025-10-24,2025-10-24 17:31:00
368,6,point,96.8,96,2025-10-24,2025-10-24 10:57:00
369,7,point,99.1,77,2025-10-24,2025-10-24 14:41:00
370,7,grasp,95.0,87,2025-10-24,2025-10-24 13:38:00
371,7,grasp,99.2,88,2025-10-24,2025-10-24 12:48:00
372,7,grasp,95.5,104,2025-10-24,2025-10-24 11:06:00
373,8,flex,92.9,91,2025-10-24,2025-10-24 11:21:00
374,8,rotate,97.4,82,2025-10-24,2025-10-24 09:26:00
375,8,grasp,93.8,92,2025-10-24,2025-10-24 10:13:00
376,4,grasp,91.8,116,2025-10-25,2025-10-25 15:15:00
377,4,release,91.2,95,2025-10-25,2025-10-25 13:10:00
378,5,release,92.8,123,2025-10-25,2025-10-25 12:23:00
379,5,rotate,98.2,120,2025-10-25,2025-10-25 09:27:00
380,6,grasp,90.9,114,2025-10-25,2025-10-25 14:01:00
381,6,point,94.4,103,2025-10-25,2025-10-25 12:28:00
382,7,release,92.1,112,2025-10-25,2025-10-25 10:14:00
383,7,flex,94.5,96,2025-10-25,2025-10-25 14:37:00
384,8,flex,93.3,105,2025-10-25,2025-10-25 18:39:00
385,8,grasp,98.3,110,2025-10-25,2025-10-25 11:52:00
386,8,point,95.4,84,2025-10-25,2025-10-25 17:31:00
387,4,release,93.5,111,2025-10-26,2025-10-26 13:47:00
388,4,rotate,97.6,108,2025-10-26,2025-10-26 13:44:00
389,5,release,92.5,79,2025-10-26,2025-10-26 10:32:00
390,5,release,95.0,107,2025-10-26,2025-10-26 17:48:00
391,6,rotate,98.2,125,2025-10-26,2025-10-26 09:57:00
392,6,rotate,92.7,92,2025-10-26,2025-10-26 16:14:00
393,6,release,97.0,89,2025-10-26,2025-10-26 10:20:00
394,6,point,97.1,76,2025-10-26,2025-10-26 18:17:00
395,7,grasp,99.4,85,2025-10-26,2025-10-26 14:40:00
396,7,rotate,90.3,92,2025-10-26,2025-10-26 16:27:00
397,7,rotate,90.6,109,2025-10-26,2025-10-26 09:47:00
398,8,point,94.6,92,2025-10-26,2025-10-26 17:51:00
399,8,grasp,93.9,102,2025-10-26,2025-10-26 17:29:00
400,8,point,93.4,94,2025-10-26,2025-10-26 12:21:00
401,4,point,93.8,99,2025-10-27,2025-10-27 19:48:00
402,4,rotate,99.1,124,2025-10-27,2025-10-27 13:30:00
403,4,point,95.4,92,2025-10-27,2025-10-27 14:31:00
404,5,rotate,92.4,108,2025-10-27,2025-10-27 15:43:00
405,5,point,95.5,116,2025-10-27,2025-10-27 15:09:00
406,5,flex,93.6,112,2025-10-27,2025-10-27 10:57:00
407,6,point,91.0,92,2025-10-27,2025-10-27 10:53:00
408,6,rotate,98.9,109,2025-10-27,2025-10-27 12:01:00
409,6,release,95.2,102,2025-10-27,2025-10-27 16:11:00
410,6,point,90.2,99,2025-10-27,2025-10-27 17:34:00
411,7,flex,97.7,99,2025-10-27,2025-10-27 16:40:00
412,7,release,93.3,75,2025-10-27,2025-10-27 19:37:00
413,7,grasp,92.1,101,2025-10-27,2025-10-27 16:36:00
414,7,point,94.6,120,2025-10-27,2025-10-27 09:24:00
415,8,rotate,94.1,101,2025-10-27,2025-10-27 15:07:00
416,8,flex,98.0,89,2025-10-27,2025-10-27 13:46:00
417,4,flex,98.1,109,2025-10-28,2025-10-28 08:51:00
418,4,flex,95.9,88,2025-10-28,2025-10-28 18:29:00
419,5,point,94.2,89,2025-10-28,2025-10-28 14:23:00
420,5,grasp,90.6,103,2025-10-28,2025-10-28 16:21:00
421,5,release,96.7,117,2025-10-28,2025-10-28 12:34:00
422,5,flex,92.8,104,2025-10-28,2025-10-28 18:25:00
423,6,release,94.0,122,2025-10-28,2025-10-28 12:04:00
