telemetry_id,customer_id,session_date,usage_minutes,movement_count,error_count,battery_level,signal_quality,created_at
43,8,2025-10-07,155,651,0,69,87.5,2025-10-07 23:28:00
44,4,2025-10-08,112,596,3,91,93.4,2025-10-08 21:05:00
45,5,2025-10-08,232,968,2,89,88.2,2025-10-08 18:26:00
46,6,2025-10-08,191,1147,2,73,94.7,2025-10-08 23:09:00
47,7,2025-10-08,207,1024,1,88,91.1,2025-10-08 21:11:00
48,8,2025-10-08,174,686,1,74,88.9,2025-10-08 21:40:00
49,4,2025-10-09,169,681,0,60,95.3,2025-10-09 23:47:00
50,5,2025-10-09,114,366,0,60,86.2,2025-10-09 18:34:00
51,6,2025-10-09,105,554,3,61,89.4,2025-10-09 22:17:00
52,7,2025-10-09,172,693,2,74,89.3,2025-10-09 19:37:00
53,8,2025-10-09,200,1210,1,81,85.0,2025-10-09 22:37:00
54,4,2025-10-10,110,409,0,94,90.0,2025-10-10 20:58:00
55,5,2025-10-10,197,976,1,93,86.6,2025-10-10 22:14:00
56,6,2025-10-10,188,726,0,78,88.2,2025-10-10 22:20:00
57,7,2025-10-10,162,1001,2,91,97.0,2025-10-10 19:12:00
58,8,2025-10-10,200,958,2,73,93.6,2025-10-10 22:53:00
59,4,2025-10-11,131,766,3,78,96.7,2025-10-11 20:04:00
60,5,2025-10-11,145,398,1,95,91.4,2025-10-11 19:41:00
61,6,2025-10-11,139,827,0,81,91.2,2025-10-11 23:10:00
62,7,2025-10-11,230,710,2,91,85.4,2025-10-11 19:29:00
63,8,2025-10-11,171,883,3,81,91.7,2025-10-11 23:10:00
64,4,2025-10-12,218,915,2,80,97.2,2025-10-12 23:09:00
65,5,2025-10-12,131,401,3,82,95.8,2025-10-12 21:16:00
66,6,2025-10-12,105,485,0,65,86.6,2025-10-12 18:29:00
67,7,2025-10-12,115,479,1,62,92.1,2025-10-12 20:00:00
68,8,2025-10-12,137,399,3,71,93.6,2025-10-12 19:48:00
69,4,2025-10-13,236,923,1,70,87.4,2025-10-13 20:20:00
70,5,2025-10-13,132,683,0,70,85.1,2025-10-13 22:19:00
71,6,2025-10-13,166,831,4,64,89.3,2025-10-13 21:08:00
72,7,2025-10-13,218,1069,3,66,94.3,2025-10-13 23:44:00
73,8,2025-10-13,149,905,3,65,86.3,2025-10-13 19:40:00
74,4,2025-10-14,149,567,1,76,89.4,2025-10-14 20:33:00
75,5,2025-10-14,141,849,0,92,92.6,2025-10-14 22:38:00
76,6,2025-10-14,160,652,1,95,91.9,2025-10-14 20:34:00
77,7,2025-10-14,213,601,4,83,94.2,2025-10-14 19:54:00
78,8,2025-10-14,180,908,4,72,87.8,2025-10-14 19:43:00
79,4,2025-10-15,152,772,3,77,94.2,2025-10-15 21:22:00
80,5,2025-10-15,157,482,4,92,95.3,2025-10-15 22:11:00
81,6,2025-10-15,172,1069,0,62,87.2,2025-10-15 18:33:00
82,7,2025-10-15,218,1267,2,75,92.0,2025-10-15 19:28:00
83,8,2025-10-15,123,517,3,76,97.4,2025-10-15 21:19:00
84,4,2025-10-16,188,1078,1,63,96.5,2025-10-16 19:47:00
85,5,2025-10-16,215,675,1,60,96.0,2025-10-16 22:35:00
86,6,2025-10-16,119,553,2,91,96.3,2025-10-16 20:59:00
87,7,2025-10-16,147,783,0,78,94.0,2025-10-16 21:01:00
88,8,2025-10-16,180,1124,0,71,86.2,2025-10-16 23:35:00
89,4,2025-10-17,103,619,4,77,89.5,2025-10-17 18:08:00
90,5,2025-10-17,232,1179,0,74,86.5,2025-10-17 23:46:00
91,6,2025-10-17,214,606,0,62,92.4,2025-10-17 21:00:00
92,7,2025-10-17,156,666,4,78,97.0,2025-10-17 22:22:00
93,8,2025-10-17,187,1123,4,85,86.9,2025-10-17 18:41:00
94,4,2025-10-18,154,734,1,69,94.3,2025-10-18 19:01:00
95,5,2025-10-18,176,654,4,81,91.0,2025-10-18 22:06:00
96,6,2025-10-18,160,776,0,86,97.8,2025-10-18 22:23:00
97,7,2025-10-18,143,687,1,81,85.2,2025-10-18 20:44:00
98,8,2025-10-18,145,756,2,68,87.0,2025-10-18 23:14:00
99,4,2025-10-19,106,269,2,82,86.3,2025-10-19 21:32:00
100,5,2025-10-19,199,776,3,79,92.7,2025-10-19 23:25:00
101,6,2025-10-19,165,872,3,69,97.8,2025-10-19 23:57:00
102,7,2025-10-19,105,499,0,95,85.9,2025-10-19 22:13:00
103,8,2025-10-19,238,974,4,67,97.3,2025-10-19 21:56:00
104,4,2025-10-20,108,670,2,66,86.5,2025-10-20 18:27:00
105,5,2025-10-20,231,1157,2,74,92.9,2025-10-20 23:21:00
106,6,2025-10-20,116,539,4,91,97.7,2025-10-20 21:25:00
107,7,2025-10-20,160,787,2,85,95.9,2025-10-20 23:33:00
108,8,2025-10-20,213,891,2,67,85.7,2025-10-20 19:08:00
109,4,2025-10-21,220,1303,0,66,91.3,2025-10-21 21:37:00
110,5,2025-10-21,233,939,0,93,85.8,2025-10-21 19:14:00
111,6,2025-10-21,150,864,4,66,86.5,2025-10-21 19:00:00
112,7,2025-10-21,208,1297,3,69,95.0,2025-10-21 18:52:00
113,8,2025-10-21,120,554,2,84,87.2,2025-10-21 20:38:00
114,4,2025-10-22,113,460,1,72,89.3,2025-10-22 23:00:00
115,5,2025-10-22,107,486,4,76,97.7,2025-10-22 18:53:00
116,6,2025-10-22,168,847,4,91,95.2,2025-10-22 21:15:00
117,7,2025-10-22,130,409,4,78,94.1,2025-10-22 23:19:00
118,8,2025-10-22,160,752,2,62,85.7,2025-10-22 19:27:00
119,4,2025-10-23,185,1083,1,61,95.1,2025-10-23 20:52:00
120,5,2025-10-23,161,979,2,76,95.4,2025-10-23 19:01:00
121,6,2025-10-23,221,846,0,83,89.8,2025-10-23 23:48:00
122,7,2025-10-23,145,456,4,73,85.8,2025-10-23 19:13:00
123,8,2025-10-23,223,690,1,78,94.9,2025-10-23 19:39:00
124,4,2025-10-24,160,776,2,85,93.9,2025-10-24 23:39:00
125,5,2025-10-24,143,759,2,75,85.7,2025-10-24 18:01:00
126,6,2025-10-24,221,904,1,79,97.9,2025-10-24 20:07:00
127,7,2025-10-24,213,858,4,91,96.7,2025-10-24 19:23:00
128,8,2025-10-24,181,865,0,62,90.2,2025-10-24 18:37:00
129,4,2025-10-25,158,599,4,80,96.6,2025-10-25 23:39:00
130,5,2025-10-25,100,495,1,73,95.1,2025-10-25 19:01:00
131,6,2025-10-25,227,1169,1,92,90.7,2025-10-25 18:16:00
132,7,2025-10-25,227,862,0,81,94.0,2025-10-25 18:36:00
133,8,2025-10-25,104,632,4,86,97.8,2025-10-25 18:28:00
134,4,2025-10-26,222,678,0,85,90.0,2025-10-26 21:59:00
135,5,2025-10-26,121,643,0,72,87.9,2025-10-26 21:17:00
136,6,2025-10-26,181,939,2,78,86.6,2025-10-26 20:52:00
137,7,2025-10-26,165,541,3,78,94.1,2025-10-26 23:34:00
138,8,2025-10-26,194,546,2,95,88.1,2025-10-26 21:22:00
139,4,2025-10-27,205,803,0,70,85.7,2025-10-27 19:30:00
140,5,2025-10-27,235,1411,1,61,92.3,2025-10-27 23:27:00
141,6,2025-10-27,146,561,4,61,96.7,2025-10-27 21:38:00
142,7,2025-10-27,217,906,1,95,87.3,2025-10-27 18:32:00
143,8,2025-10-27,154,916,4,81,90.3,2025-10-27 19:44:00
144,4,2025-10-28,222,1305,1,73,92.5,2025-10-28 20:14:00
145,5,2025-10-28,127,544,4,61,97.6,2025-10-28 23:14:00
146,6,2025-10-28,212,638,1,71,90.4,2025-10-28 23:10:00
147,7,2025-10-28,149,703,0,94,93.8,2025-10-28 19:47:00
148,8,2025-10-28,239,723,3,94,97.7,2025-10-28 20:29:00
149,4,2025-10-29,165,680,1,69,96.5,2025-10-29 21:48:00
150,5,2025-10-29,115,556,3,87,86.5,2025-10-29 18:48:00
151,6,2025-10-29,179,757,2,67,89.4,2025-10-29 19:34:00
152,7,2025-10-29,215,1049,0,94,85.0,2025-10-29 23:50:00
153,8,2025-10-29,123,381,1,67,95.3,2025-10-29 21:46:00
154,4,2025-10-30,125,353,3,74,85.4,2025-10-30 18:00:00
155,5,2025-10-30,166,827,0,72,90.3,2025-10-30 18:22:00
156,6,2025-10-30,196,598,1,60,91.3,2025-10-30 19:33:00
157,7,2025-10-30,232,1371,2,94,96.6,2025-10-30 18:03:00
158,8,2025-10-30,240,1410,0,62,96.8,2025-10-30 19:16:00
159,4,2025-10-31,124,493,2,62,96.9,2025-10-31 18:43:00
160,5,2025-10-31,160,785,3,68,95.9,2025-10-31 20:00:00
161,6,2025-10-31,206,794,4,67,95.4,2025-10-31 21:28:00
162,7,2025-10-31,200,777,0,65,86.3,2025-10-31 22:04:00
163,8,2025-10-31,219,1315,1,85,94.7,2025-10-31 21:50:00
164,4,2025-11-01,147,715,3,75,91.4,2025-11-01 22:48:00
165,5,2025-11-01,193,589,3,73,93.2,2025-11-01 21:39:00
166,6,2025-11-01,114,600,3,61,91.0,2025-11-01 21:17:00
167,7,2025-11-01,189,724,4,85,97.5,2025-11-01 20:49:00
168,8,2025-11-01,109,414,1,72,88.1,2025-11-01 23:29:00
169,4,2025-11-02,174,715,4,76,96.9,2025-11-02 19:10:00
170,5,2025-11-02,152,862,1,65,96.1,2025-11-02 21:03:00
171,6,2025-11-02,106,527,0,61,85.2,2025-11-02 22:04:00
172,7,2025-11-02,213,1326,0,86,85.0,2025-11-02 20:09:00
173,8,2025-11-02,133,540,4,61,91.5,2025-11-02 21:21:00
174,4,2025-11-03,228,877,3,65,88.9,2025-11-03 18:07:00
175,5,2025-11-03,210,602,4,88,88.8,2025-11-03 18:42:00
176,6,2025-11-03,113,671,1,93,93.6,2025-11-03 20:42:00
177,7,2025-11-03,117,622,1,63,90.7,2025-11-03 18:42:00
178,8,2025-11-03,129,747,2,92,95.0,2025-11-03 20:08:00
179,4,2025-11-04,196,960,2,89,92.2,2025-11-04 21:28:00
180,5,2025-11-04,103,594,3,86,95.9,2025-11-04 20:19:00
181,6,2025-11-04,181,543,4,80,91.9,2025-11-04 19:31:00
182,7,2025-11-04,104,323,3,95,90.3,2025-11-04 22:34:00
183,8,2025-11-04,143,395,0,77,92.4,2025-11-04 18:11:00
184,4,2025-11-05,115,540,2,76,94.5,2025-11-05 18:51:00
185,5,2025-11-05,238,683,3,67,96.0,2025-11-05 21:16:00
186,6,2025-11-05,228,723,4,80,88.8,2025-11-05 22:25:00
187,7,2025-11-05,237,920,0,63,95.6,2025-11-05 22:59:00
188,8,2025-11-05,135,536,4,71,90.6,2025-11-05 18:06:00
189,4,2025-11-06,239,1425,4,93,87.3,2025-11-06 19:28:00
190,5,2025-11-06,191,915,3,87,90.8,2025-11-06 18:03:00
191,6,2025-11-06,213,643,0,63,93.2,2025-11-06 21:22:00
192,7,2025-11-06,142,706,0,70,91.1,2025-11-06 20:10:00
193,8,2025-11-06,131,496,3,80,94.3,2025-11-06 19:52:00
194,4,2025-11-07,139,785,1,78,90.2,2025-11-07 21:54:00
195,5,2025-11-07,118,322,1,93,97.9,2025-11-07 23:31:00
196,6,2025-11-07,137,827,3,86,88.0,2025-11-07 18:53:00
197,7,2025-11-07,207,868,0,78,97.4,2025-11-07 22:10:00
198,8,2025-11-07,109,453,3,88,89.7,2025-11-07 18:58:00
199,4,2025-11-08,100,566,3,84,86.0,2025-11-08 20:38:00
200,5,2025-11-08,196,750,3,64,95.7,2025-11-08 20:45:00
201,6,2025-11-08,151,474,2,63,89.2,2025-11-08 20:42:00
202,7,2025-11-08,204,1233,4,86,92.7,2025-11-08 18:24:00
203,8,2025-11-08,193,730,1,66,89.6,2025-11-08 22:11:00
204,4,2025-11-09,203,1188,3,60,86.3,2025-11-09 20:08:00
205,5,2025-11-09,186,952,4,89,87.6,2025-11-09 22:23:00
206,6,2025-11-09,155,811,3,67,95.5,2025-11-09 20:51:00
207,7,2025-11-09,135,691,4,91,87.6,2025-11-09 22:43:00
208,8,2025-11-09,208,646,4,72,97.3,2025-11-09 18:56:00
209,4,2025-11-10,101,283,1,69,87.7,2025-11-10 22:55:00
210,5,2025-11-10,206,1067,1,63,91.9,2025-11-10 21:53:00
211,6,2025-11-10,119,569,2,67,87.9,2025-11-10 21:34:00
212,7,2025-11-10,160,669,2,84,93.9,2025-11-10 21:36:00
213,8,2025-11-10,113,537,3,76,87.9,2025-11-10 18:54:00
214,4,2025-11-11,239,1211,1,81,86.1,2025-11-11 19:33:00
215,5,2025-11-11,167,524,4,68,96.5,2025-11-11 22:57:00
216,6,2025-11-11,100,607,1,90,96.0,2025-11-11 20:55:00
217,7,2025-11-11,239,725,4,94,89.9,2025-11-11 21:25:00
218,8,2025-11-11,161,606,0,79,86.6,2025-11-11 19:14:00
219,4,2025-11-12,168,477,2,71,86.1,2025-11-12 21:11:00
220,5,2025-11-12,113,342,4,66,97.0,2025-11-12 23:22:00
221,6,2025-11-12,202,849,2,72,92.4,2025-11-12 21:30:00
222,7,2025-11-12,224,1095,4,83,94.9,2025-11-12 22:42:00
223,8,2025-11-12,113,635,0,77,96.6,2025-11-12 21:43:00
224,4,2025-11-13,170,848,3,61,89.1,2025-11-13 19:01:00
225,5,2025-11-13,158,974,0,89,97.0,2025-11-13 20:03:00
226,6,2025-11-13,164,496,0,93,94.6,2025-11-13 23:37:00
227,7,2025-11-13,147,847,2,93,86.8,2025-11-13 23:14:00
228,8,2025-11-13,184,763,4,79,96.9,2025-11-13 19:06:00
229,4,2025-11-14,189,1084,2,88,96.8,2025-11-14 18:56:00
230,5,2025-11-14,201,754,3,79,93.5,2025-11-14 21:14:00
231,6,2025-11-14,120,497,4,67,93.2,2025-11-14 21:38:00
232,7,2025-11-14,203,612,3,62,92.6,2025-11-14 19:36:00
233,8,2025-11-14,108,408,0,76,85.9,2025-11-14 22:21:00
234,4,2025-11-15,219,1295,2,64,92.1,2025-11-15 19:34:00
235,5,2025-11-15,103,653,1,65,95.1,2025-11-15 22:07:00
236,6,2025-11-15,144,474,3,91,95.3,2025-11-15 22:20:00
237,7,2025-11-15,116,394,1,92,87.4,2025-11-15 20:33:00
238,8,2025-11-15,165,860,4,84,95.6,2025-11-15 18:21:00
239,4,2025-11-16,238,974,3,73,97.2,2025-11-16 23:53:00
240,5,2025-11-16,128,652,4,69,87.5,2025-11-16 20:43:00
241,6,2025-11-16,125,719,1,88,86.1,2025-11-16 19:43:00
242,7,2025-11-16,159,438,0,89,89.5,2025-11-16 18:24:00
243,8,2025-11-16,222,1117,1,79,88.2,2025-11-16 23:57:00
244,4,2025-11-17,219,859,3,71,91.1,2025-11-17 23:52:00
245,5,2025-11-17,167,501,0,80,93.3,2025-11-17 18:13:00
246,6,2025-11-17,185,747,3,87,93.6,2025-11-17 18:59:00
247,7,2025-11-17,215,694,4,70,92.4,2025-11-17 22:24:00
248,8,2025-11-17,102,289,1,77,86.4,2025-11-17 23:41:00
249,4,2025-11-18,238,950,4,65,97.3,2025-11-18 21:23:00
250,5,2025-11-18,104,412,4,87,96.7,2025-11-18 21:21:00
251,6,2025-11-18,119,723,4,73,94.8,2025-11-18 20:25:00
252,7,2025-11-18,160,974,3,91,88.2,2025-11-18 19:19:00
253,8,2025-11-18,188,1147,3,94,93.7,2025-11-18 21:34:00
254,4,2025-11-19,232,695,4,86,90.4,2025-11-19 18:38:00
255,5,2025-11-19,158,665,3,76,95.0,2025-11-19 22:37:00
256,6,2025-11-19,222,1351,1,89,94.5,2025-11-19 23:54:00
257,7,2025-11-19,190,1000,4,83,85.9,2025-11-19 20:04:00
258,8,2025-11-19,173,1006,0,77,95.7,2025-11-19 19:34:00
259,4,2025-11-20,203,1255,1,81,97.4,2025-11-20 23:37:00
260,5,2025-11-20,105,495,0,92,97.1,2025-11-20 18:12:00
261,6,2025-11-20,172,520,4,75,89.4,2025-11-20 20:59:00
262,7,2025-11-20,213,660,3,65,89.3,2025-11-20 23:52:00
263,8,2025-11-20,153,478,0,92,92.1,2025-11-20 20:34:00
264,4,2025-11-21,139,847,1,65,95.2,2025-11-21 20:09:00
265,5,2025-11-21,224,681,1,65,94.2,2025-11-21 20:14:00
266,6,2025-11-21,173,678,0,76,92.0,2025-11-21 19:00:00
267,7,2025-11-21,228,1158,1,79,90.2,2025-11-21 20:33:00
268,8,2025-11-21,147,874,3,83,96.1,2025-11-21 18:12:00
269,4,2025-11-22,220,928,4,60,93.3,2025-11-22 22:00:00
270,5,2025-11-22,103,545,3,73,85.6,2025-11-22 23:23:00
271,6,2025-11-22,162,455,3,91,97.5,2025-11-22 22:30:00
272,7,2025-11-22,102,426,1,64,90.6,2025-11-22 18:33:00
273,8,2025-11-22,117,704,3,82,92.5,2025-11-22 20:34:00
274,4,2025-11-23,189,739,1,92,92.2,2025-11-23 21:24:00
275,5,2025-11-23,203,606,2,81,93.8,2025-11-23 19:28:00
276,6,2025-11-23,208,843,0,69,95.6,2025-11-23 22:16:00
277,7,2025-11-23,105,385,1,88,85.3,2025-11-23 22:54:00
278,8,2025-11-23,236,737,4,94,92.0,2025-11-23 21:08:00
279,4,2025-11-24,173,883,3,80,90.8,2025-11-24 19:11:00
280,5,2025-11-24,130,661,0,94,96.2,2025-11-24 19:54:00
281,6,2025-11-24,151,896,2,80,90.4,2025-11-24 23:12:00
282,7,2025-11-24,195,578,3,95,89.2,2025-11-24 22:29:00
283,8,2025-11-24,213,1259,4,63,91.6,2025-11-24 18:19:00
284,4,2025-11-25,117,617,1,83,90.4,2025-11-25 19:40:00
285,5,2025-11-25,101,430,3,61,95.9,2025-11-25 22:54:00
286,6,2025-11-25,188,990,2,81,96.9,2025-11-25 19:01:00
287,7,2025-11-25,177,866,3,61,87.7,2025-11-25 19:16:00
288,8,2025-11-25,178,886,3,87,92.2,2025-11-25 19:50:00
289,4,2025-11-26,111,439,1,91,91.6,2025-11-26 18:16:00
290,5,2025-11-26,175,707,0,71,86.0,2025-11-26 21:14:00
291,6,2025-11-26,163,794,2,92,89.3,2025-11-26 22:57:00
292,7,2025-11-26,235,668,2,90,97.6,2025-11-26 18:31:00
293,8,2025-11-26,161,958,4,84,96.5,2025-11-26 21:33:00
294,4,2025-11-27,190,552,3,71,91.3,2025-11-27 21:09:00
295,5,2025-11-27,123,664,3,82,87.6,2025-11-27 18:27:00
296,6,2025-11-27,156,437,0,66,90.7,2025-11-27 18:56:00
297,7,2025-11-27,221,1335,4,65,95.7,2025-11-27 18:32:00
298,8,2025-11-27,121,758,2,73,96.1,2025-11-27 23:20:00
299,4,2025-11-28,118,633,2,88,88.0,2025-11-28 20:36:00
300,5,2025-11-28,177,1041,3,70,87.5,2025-11-28 21:23:00
301,6,2025-11-28,136,699,4,78,92.5,2025-11-28 18:53:00
302,7,2025-11-28,126,417,2,80,96.2,2025-11-28 23:07:00
303,8,2025-11-28,198,1138,1,78,92.9,2025-11-28 20:08:00
304,4,2025-11-29,147,875,4,69,95.1,2025-11-29 22:35:00
305,5,2025-11-29,190,557,3,79,88.2,2025-11-29 21:04:00
306,6,2025-11-29,150,863,2,65,96.3,2025-11-29 20:32:00
307,7,2025-11-29,124,593,4,81,96.3,2025-11-29 18:11:00
308,8,2025-11-29,150,937,1,86,96.6,2025-11-29 18:24:00
309,4,2025-11-30,169,678,3,84,95.8,2025-11-30 22:31:00
310,5,2025-11-30,226,1374,4,94,85.8,2025-11-30 23:39:00
311,6,2025-11-30,236,691,1,61,88.4,2025-11-30 19:59:00
312,7,2025-11-30,196,773,4,78,91.1,2025-11-30 19:56:00
313,8,2025-11-30,211,602,2,94,92.6,2025-11-30 20:09:00
